Year,Overshoot_Date,Earth_biocapacity,Footprint ( gha/ person)
1961,21-Sep,3.17930532,4.39761337
1962,5-Sep,3.134483265,4.618437582
1963,7-Sep,3.067707518,4.470562793
1964,4-Sep,3.013389563,4.426400653
1965,31-Aug,2.956331278,4.439925518
1966,23-Aug,2.919682709,4.534904292
1967,8-Aug,2.871801054,4.765061611
1968,26-Jul,2.82846908,4.969320724
1969,13-Jul,2.771095184,5.212741169
1970,25-May,2.726234316,6.878893723
1971,24-May,2.687297405,6.808131998
1972,24-May,2.624113133,6.617270771
1973,15-May,2.600893885,7.049975864
1974,17-May,2.540243509,6.789784321
1975,15-May,2.49868942,6.733190809
1976,10-May,2.465404531,6.862034176
1977,11-May,2.425682572,6.734663977
1978,4-May,2.407772976,7.091983716
1979,26-Apr,2.36136095,7.425221812
1980,5-May,2.320828581,6.747081709
1981,9-May,2.29896208,6.515367758
1982,13-May,2.274663217,6.228269389
1983,15-May,2.226566105,6.00691419
1984,4-May,2.217394412,6.471162123
1985,29-Apr,2.188215235,6.711569485
1986,28-Apr,2.153909638,6.656733595
1987,29-Apr,2.122512716,6.497870173
1988,22-Apr,2.075291366,6.68207283
1989,23-Apr,2.062283282,6.662097999
1990,20-Apr,2.051106995,6.814632039
1991,28-Apr,2.005570631,6.193047539
1992,4-May,2.001013313,5.847604807
1993,7-May,1.962909041,5.647208619
1994,30-Apr,1.949439299,5.946769605
1995,28-Apr,1.912048762,5.931581398
1996,26-Apr,1.907120423,5.973203151
1997,30-Apr,1.889122314,5.728389292
1998,29-Apr,1.870565603,5.744076267
1999,30-Apr,1.850580957,5.643310703
2000,23-Apr,1.825939356,5.850100029
2001,21-Apr,1.813381128,5.989678684
2002,29-Apr,1.787818177,5.46446542
2003,28-Apr,1.762826089,5.446481025
2004,25-Apr,1.758390413,5.533873141
2005,26-Apr,1.73317664,5.455162771
2006,21-Apr,1.716917539,5.647813418
2007,21-Apr,1.69991971,5.60272303
2008,17-Apr,1.697474397,5.720127172
2009,26-Apr,1.669546545,5.237749839
2010,16-Apr,1.659424476,5.711886107
2011,18-Apr,1.649592442,5.593401452
2012,17-Apr,1.617660394,5.472407724
2013,17-Apr,1.62108817,5.519000141
2014,20-Apr,1.6075441,5.348362535
2015,21-Apr,1.589956801,5.222487728
2016,22-Apr,1.578633833,5.095842009
2017,23-Apr,1.576078333,5.100810616
2018,24-Apr,1.554023641,4.959012443
2019,26-Apr,1.543251426,4.844458489
2020,5-May,1.52532268,4.428827742
2021,30-Apr,1.517166109,4.601302018
2022,29-Apr,1.504322175,4.606655106
2023,9-May,1.491379538,4.235714974
2024,8-May,1.478047235,4.176634071