Year,Overshoot_Date,Biocapacity ( gha/ person),EFConsPerCap
1961,17-Sep,3.17930532,4.465505637
1962,2-Sep,3.134483265,4.674075503
1963,31-Aug,3.067707518,4.606297704
1964,22-Aug,3.013389563,4.670495052
1965,21-Aug,2.956331278,4.622535238
1966,15-Aug,2.919682709,4.68662064
1967,23-Jul,2.871801054,5.141653415
1968,17-Jul,2.82846908,5.194896342
1969,9-Jul,2.771095184,5.323335534
1970,18-Jun,2.726234316,5.894656871
1971,12-Jun,2.687297405,6.015439437
1972,8-Jun,2.624113133,5.975633268
1973,26-May,2.600893885,6.517865087
1974,26-May,2.540243509,6.360193994
1975,3-Jun,2.49868942,5.926062864
1976,26-May,2.465404531,6.134782589
1977,26-May,2.425682572,6.054568461
1978,19-May,2.407772976,6.327460453
1979,13-May,2.36136095,6.487381795
1980,16-May,2.320828581,6.203090484
1981,27-May,2.29896208,5.69007823
1982,30-May,2.274663217,5.532129016
1983,7-Jun,2.226566105,5.145520126
1984,28-May,2.217394412,5.413891745
1985,25-May,2.188215235,5.51375833
1986,24-May,2.153909638,5.454367437
1987,17-May,2.122512716,5.637017178
1988,6-May,2.075291366,5.979174179
1989,3-May,2.062283282,6.095616266
1990,4-May,2.051106995,6.019367272
1991,29-Apr,2.005570631,6.161921657
1992,4-May,2.001013313,5.845260136
1993,11-May,1.962909041,5.465377365
1994,1-May,1.949439299,5.867077175
1995,28-Apr,1.912048762,5.896830105
1996,25-Apr,1.907120423,5.986013315
1997,29-Apr,1.889122314,5.778084144
1998,21-Apr,1.870565603,6.12380958
1999,19-Apr,1.850580957,6.171384035
2000,14-Apr,1.825939356,6.368887648
2001,15-Apr,1.813381128,6.298733994
2002,17-Apr,1.787818177,6.096910154
2003,22-Apr,1.762826089,5.767579883
2004,14-Apr,1.758390413,6.087218435
2005,15-Apr,1.73317664,6.039090982
2006,15-Apr,1.716917539,5.947059035
2007,11-Apr,1.69991971,6.15740322
2008,9-Apr,1.697474397,6.20243829
2009,15-Apr,1.669546545,5.782124894
2010,13-Apr,1.659424476,5.887627745
2011,15-Apr,1.649592442,5.755086672
2012,13-Apr,1.617660394,5.680222694
2013,17-Apr,1.62108817,5.544656547
2014,18-Apr,1.6075441,5.423346752
2015,17-Apr,1.589956801,5.409773516
2016,25-Apr,1.578633833,4.97476714
2017,15-Apr,1.576078333,5.457106457
2018,21-Apr,1.554023641,5.088712369
2019,17-Apr,1.543251426,5.240894298
2020,30-Apr,1.52532268,4.611315772
2021,16-Apr,1.517166109,5.22916989
2022,18-Apr,1.504322175,5.062445402
2023,23-Apr,1.491379538,4.821727805
2024,22-Apr,1.478047235,4.770337252